,0k2cq,0tsou,2zt0y,306fp,36mab,4718r,4snwv,4x99y,6062q,6xiit,75581,7nrit,7tb58,95saa,97vve,9fwxw,9h24q,9n6v4,9njqe,a9qsd,aewa7,b4bxs,brhrx,d2tzi,edf28,h2aeg,hktsr,i5rpt,ickpq,ijhu4,m2k0x,npuga,o1ojm,o6p8o,o7hgm,otwp4,rcql6,rpwiz,t0nen,t2ukq,t3l4h,tx96a,u0fbt,u5ghe,wcnoy,wpok6,wvk2n,xqhhy,y2i17,ydda7
02x6v,0.0,0.0,0.2,0.4,0.0,0.1,0.0,0.3,0.1,0.1,0.3,0.1,0.2,0.1,0.4,0.8,0.0,0.3,0.1,0.3,0.2,0.0,0.0,0.4,0.1,0.7,0.2,0.0,0.0,0.1,0.0,0.1,0.6,0.1,0.5,0.0,0.2,0.3,0.2,0.3,0.4,0.1,0.0,0.1,0.8,0.5,0.0,0.2,0.0,0.0
0u9kr,0.0,0.3,0.0,0.6,0.4,0.0,0.1,0.3,0.0,0.0,0.9,0.1,0.2,0.4,0.7,0.6,0.1,0.3,0.0,0.3,0.3,0.0,0.2,0.3,0.3,0.6,0.4,0.1,0.0,0.5,0.2,0.1,0.5,0.5,0.6,0.0,0.6,0.1,0.8,0.0,0.0,0.3,0.2,0.2,0.6,0.8,0.3,0.2,0.2,0.0
0zy78,0.0,0.0,0.0,0.0,0.7,0.6,0.1,0.1,0.3,0.0,0.3,0.0,0.0,0.5,0.1,0.3,0.0,0.0,0.2,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.8,0.5,0.2,0.2,0.1,0.4,0.2,0.8,0.0,0.3,0.0,0.1,0.2,0.5,0.1,0.0,0.0,0.1,0.1,0.0,0.0
10wi0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19bmr,0.4,0.0,0.2,0.1,0.7,0.4,0.1,0.2,0.1,0.0,0.5,0.1,0.5,0.5,0.2,0.6,0.1,0.1,0.2,0.0,0.2,0.0,0.0,0.3,0.0,0.4,0.4,0.2,0.3,0.4,0.5,0.2,0.4,0.2,0.4,0.0,0.8,0.0,0.4,0.2,0.3,0.4,0.6,0.5,0.0,0.2,0.2,0.3,0.0,0.2
1d8v6,0.0,0.4,0.7,0.5,0.8,0.2,0.2,0.3,0.2,0.3,0.7,0.0,0.5,0.0,0.0,0.9,0.0,0.7,0.5,0.6,0.5,0.0,0.3,0.0,0.0,0.7,0.0,0.1,0.1,0.7,0.0,0.4,0.3,0.6,0.7,0.0,1.0,0.1,0.7,0.5,0.4,0.1,0.2,0.4,1.0,0.0,0.5,0.0,0.2,0.0
1jye7,0.2,0.4,0.5,0.3,0.7,0.6,0.3,0.2,0.2,0.1,0.8,0.4,0.6,0.8,0.4,0.9,0.0,0.1,0.6,0.4,0.7,0.2,0.3,0.0,0.3,0.3,0.0,0.0,0.2,0.8,0.6,0.4,0.5,0.0,0.8,0.3,1.0,0.3,0.9,0.2,0.3,0.6,0.7,0.3,0.0,0.2,0.2,0.1,0.5,0.2
1t3a0,0.2,0.1,0.1,0.2,0.5,0.6,0.2,0.0,0.7,0.0,0.0,1.0,0.6,0.5,0.0,1.0,0.1,0.2,0.3,0.3,0.0,0.1,0.0,0.6,0.0,0.3,0.3,0.5,0.0,0.8,0.0,0.4,0.2,0.3,0.6,0.5,0.5,0.5,0.2,0.1,0.6,0.4,0.8,0.3,0.4,0.2,0.4,0.1,0.8,0.7
24oo1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25yce,0.6,0.0,0.0,0.0,0.0,0.6,0.2,0.1,0.0,0.1,0.0,0.2,0.0,0.7,0.1,0.3,0.0,0.0,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.0,0.4,0.3,0.3,0.5,0.3,0.2,0.3,0.0,0.7,0.3,0.4,0.2,0.0,0.0,0.2,0.3,0.8,0.2,0.0,0.0,0.1,0.1,0.3,0.3
2m2bm,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.4,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.2,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2nnjj,0.3,0.4,0.5,1.0,0.2,0.3,0.4,0.0,0.3,0.1,0.2,0.0,0.7,0.4,1.0,0.4,0.1,0.1,0.0,0.2,0.5,0.2,0.0,0.8,0.0,0.7,0.3,0.7,0.7,0.0,0.5,0.0,0.9,0.2,0.5,0.1,0.4,0.6,0.3,0.8,0.6,0.6,0.0,0.2,0.7,0.0,0.0,0.4,0.2,0.2
2puxb,0.4,0.9,0.0,0.0,0.7,0.3,0.6,0.9,0.3,0.3,0.8,0.5,0.6,0.8,1.0,1.0,0.6,0.0,0.8,0.6,0.9,0.0,0.8,0.9,0.0,0.8,0.7,0.8,0.7,0.7,0.0,0.5,0.9,0.8,1.0,0.2,0.8,0.8,1.0,0.7,0.7,0.9,0.6,0.6,0.8,0.9,1.0,0.6,0.8,0.0
2vptm,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.3,0.5,0.3,0.0,0.0,0.0,0.4,0.2,0.0,0.1,0.1,0.0,0.2,0.3,0.0,0.0,0.1,0.1,0.1,0.5,0.1,0.5,0.0,0.6,0.0,0.2,0.0,0.0,0.1,0.2,0.1,0.3,0.2,0.0,0.0,0.2,0.0
3mz8s,0.9,0.0,0.2,0.4,0.8,0.6,1.0,0.4,0.5,0.0,0.1,0.2,0.6,1.0,0.3,0.2,0.1,0.2,0.3,0.5,0.3,0.0,0.4,0.3,0.2,0.3,0.6,0.6,0.0,0.2,0.6,0.2,0.7,0.0,0.6,0.6,0.4,0.5,0.2,0.3,0.4,0.6,0.9,0.0,0.1,0.1,0.3,0.4,0.9,0.6
497o6,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0
